BUILDING_I,APPLICATION,STATUS,TSA,Dis_SubDis,LUCategory,ZoCaseStat,BldgStatus,Office,Retail,BMR_Hotel,BMR_Inst,BMR_Indus,BMR_TotNonRes,BMR_ResGFA,BMR_ResDU,BMR_Totals
46,RZ 2015-HM-005,FDP Approved,Wiehle-Reston East TSA,Wiehle Station North,Residential Mixed Use,APPROVED,FDP Approved,0,0,0,0,0,,60655,32,60655
54,RZ 2015-HM-013,Existing to Remain,Wiehle-Reston East TSA,Wiehle Station South,Transit Station Mixed Use,APPROVED,Existing to Remain,72637,0,0,0,0,,0,0,72637
55,RZ 2015-HM-013,FDP Approved,Wiehle-Reston East TSA,Wiehle Station South,Transit Station Mixed Use,APPROVED,FDP Approved,0,0,0,0,0,,269100,260,269100
56,PCA 2000-HM-044-02,PCA Approved,Herndon TSA,Woodland Park,Mixed Use,APPROVED,PCA Approved,0,0,0,0,0,,165000,62,165000
62,PCA 2000-HM-044-02,PCA Approved,Herndon TSA,Herndon Station,Residential Mixed Use,APPROVED,PCA Approved,0,0,0,0,0,,154000,70,154000
57,PCA 2000-HM-044-02,PCA Approved,Herndon TSA,Herndon Station,Residential Mixed Use,APPROVED,PCA Approved,0,0,0,0,0,,31800,12,31800
58,PCA 2000-HM-044-02,PCA Approved,Herndon TSA,Herndon Station,Residential Mixed Use,APPROVED,PCA Approved,0,0,0,0,0,,254715,160,254715
59,PCA 2000-HM-044-02,PCA Approved,Herndon TSA,Herndon Station,Residential Mixed Use,APPROVED,PCA Approved,0,0,0,0,0,,414000,375,414000
60,PCA 2000-HM-044-02,PCA Approved,Herndon TSA,Herndon Station,Residential Mixed Use,APPROVED,PCA Approved,308000,0,0,0,0,,0,0,308000
61,PCA 2000-HM-044-02,PCA Approved,Herndon TSA,Herndon Station,Residential Mixed Use,APPROVED,PCA Approved,252000,20000,0,0,0,,0,0,272000
69,RZ 2016-DR-001,FDP Approved,Herndon TSA,Woodland Park,Mixed Use,APPROVED,FDP Approved,0,0,0,0,0,,313550,295,313550
70,RZ 2016-DR-001,FDP Approved,Herndon TSA,Woodland Park,Mixed Use,APPROVED,FDP Approved,0,0,0,0,0,,119840,56,119840
71,RZ 2016-DR-001,FDP Approved,Herndon TSA,Woodland Park,Mixed Use,APPROVED,FDP Approved,0,0,0,0,0,,89600,32,89600
73,RZ 2015-HM-012,FDP Approved,Wiehle-Reston East TSA,Wiehle Station South,Residential Mixed Use,APPROVED,FDP Approved,0,0,0,0,0,,10000,10,10000
74,RZ 2015-HM-012,FDP Approved,Wiehle-Reston East TSA,Wiehle Station South,Residential Mixed Use,APPROVED,FDP Approved,0,0,0,0,0,,45000,34,45000
75,PRC 74-2 -113-03,FDP Approved,Reston Town Center TSA,West Fountain Drive,Town Center North Mixed Use,APPROVED,FDP Approved,0,0,0,7680,0,,0,0,7680
132,RZ 2017-HM-032,Existing to Remain,Reston Town Center TSA,Central Sunrise Valley,Industrial,ACCEPTED,Existing to Remain,0,0,0,0,49151,,0,0,49151
134,RZ 2017-HM-006,FDP Proposed,Wiehle-Reston East TSA,Reston East,Office,UNDER REVIEW,FDP Proposed,0,0,0,0,0,,25000,13,25000
135,RZ 2017-HM-006,FDP Proposed,Wiehle-Reston East TSA,Reston East,Office,UNDER REVIEW,FDP Proposed,0,0,0,0,0,,175000,175,175000
138,RZ 2017-HM-019,Existing to Remain,Wiehle-Reston East TSA,Reston East,Office,APPROVED,Existing to Remain,41358,0,0,0,0,,0,0,41358
139,PCA 86-C-054-02,FDP Approved,Wiehle-Reston East TSA,Reston East,Office,APPROVED,FDP Approved,357694,0,0,0,0,,0,0,357694
141,RZ2016-HM-031,Existing to Remain,Herndon TSA,Herndon Station,Residential Mixed Use,PENDING,Existing to Remain,103166,0,0,0,0,,0,0,103166
142,RZ2016-HM-031,FDP Pending,Herndon TSA,Herndon Station,Residential Mixed Use,PENDING,FDP Pending,0,0,0,0,0,,100000,42,100000
144,PRCA 77-C-076,PCA Approved,Reston Town Center TSA,East Fountain Drive,Mixed Use,APPROVED,PCA Approved,413700,5200,0,0,0,,0,0,418900
136,RZ 2017-HM-006,Existing to Remain,Wiehle-Reston East TSA,Reston East,Office,UNDER REVIEW,Existing to Remain,222444,0,0,0,0,,0,0,222444
43,PCA 2009-HM-019-02,Existing to Remain,Wiehle-Reston East TSA,Wiehle Station North,Transit Station Mixed Use,APPROVED,Existing to Remain,0,25497,105599,0,0,,0,0,131096
39,PCA 2009-HM-019-02,Existing to Remain,Wiehle-Reston East TSA,Wiehle Station North,Transit Station Mixed Use,APPROVED,Existing to Remain,371353,0,0,0,0,,0,0,371353
44,PCA 2009-HM-019-02,PCA Approved,Wiehle-Reston East TSA,Wiehle Station North,Transit Station Mixed Use,APPROVED,PCA Approved,0,0,0,0,0,,209000,220,209000
42,PCA 2009-HM-019-02,Existing to Remain,Wiehle-Reston East TSA,Wiehle Station North,Transit Station Mixed Use,APPROVED,Existing to Remain,0,0,0,0,0,,505837,448,505837
41,PCA 2009-HM-019-02,PCA Approved,Wiehle-Reston East TSA,Wiehle Station North,Transit Station Mixed Use,APPROVED,PCA Approved,195000,0,0,0,0,,0,0,195000
40,PCA 2009-HM-019-02,PCA Approved,Wiehle-Reston East TSA,Wiehle Station North,Transit Station Mixed Use,APPROVED,PCA Approved,220000,0,0,0,0,,0,0,220000
126,RZ 2017-HM-032,FDP Proposed,Reston Town Center TSA,Central Sunrise Valley,Industrial,ACCEPTED,FDP Proposed,0,0,0,0,168683,,0,0,168683
127,RZ 2017-HM-032,FDP Proposed,Reston Town Center TSA,Central Sunrise Valley,Industrial,ACCEPTED,FDP Proposed,72720,0,0,0,0,,0,0,72720
128,RZ 2017-HM-032,FDP Proposed,Reston Town Center TSA,Central Sunrise Valley,Industrial,ACCEPTED,FDP Proposed,0,0,0,0,172619,,0,0,172619
130,RZ 2017-HM-032,FDP Proposed,Reston Town Center TSA,Central Sunrise Valley,Industrial,ACCEPTED,FDP Proposed,0,0,0,0,238349,,0,0,238349
131,RZ 2017-HM-032,FDP Proposed,Reston Town Center TSA,Central Sunrise Valley,Industrial,ACCEPTED,FDP Proposed,76458,0,0,0,0,,0,0,76458
133,RZ 2017-HM-032,FDP Proposed,Reston Town Center TSA,Central Sunrise Valley,Industrial,ACCEPTED,FDP Proposed,0,0,0,0,80280,,0,0,80280
48,RZ 2017-HM-018,FDP Proposed,Wiehle-Reston East TSA,Wiehle Station South,Transit Station Mixed Use,UNDER REVIEW,FDP Proposed,117685,4500,0,0,0,,0,0,122185
49,RZ 2017-HM-018,FDP Proposed,Wiehle-Reston East TSA,Wiehle Station South,Transit Station Mixed Use,UNDER REVIEW,FDP Proposed,117685,4500,0,0,0,,0,0,122185
5,RZ 2016-HM-024,FDP Proposed,Wiehle-Reston East TSA,Wiehle Station North,Transit Station Mixed Use,UNDER REVIEW,FDP Proposed,0,21950,0,25000,0,,130100,130,177050
72,PRC B-846-03,FDP Approved,Wiehle-Reston East TSA,Wiehle Station South,Residential Mixed Use,APPROVED,FDP Approved,0,0,0,0,0,,151600,54,151600
137,RZ 2017-HM-019,FDP Approved,Wiehle-Reston East TSA,Reston East,Office,APPROVED,FDP Approved,0,0,98500,0,0,,0,0,98500
146,RZ 2018-MD-003,Existing to Remain,Herndon TSA,Woodland Park,Mixed Use,UNDER REVIEW,Existing to Remain,239585,0,0,0,0,,0,0,239585
147,RZ 2018-MD-003,FDP Proposed,Herndon TSA,Woodland Park,Mixed Use,UNDER REVIEW,FDP Proposed,157500,0,0,0,0,,0,0,157500
149,RZ 2018-MD-003,FDP Proposed,Herndon TSA,Woodland Park,Mixed Use,UNDER REVIEW,FDP Proposed,0,6500,0,0,0,,0,0,6500
148,RZ 2018-MD-003,FDP Proposed,Herndon TSA,Woodland Park,Mixed Use,UNDER REVIEW,FDP Proposed,0,30000,0,0,0,,0,0,30000
